Movie Title,Year
Mogwai_Synth,
Parasite,
Mulholland Drive,
There Will Be Blood,
In the Mood for Love,
Moonlight,
No Country for Old Men,
Eternal Sunshine of the Spotless Mind,
Get Out,
Spirited Away,
The Social Network,
Mad Max: Fury Road,
The Zone of Interest,
Children of Men,
Inglourious Basterds,
City of God,
"Crouching Tiger, Hidden Dragon",
Brokeback Mountain,
Y Tu Mamá También,
Zodiac,
The Wolf of Wall Street,
The Royal Tenenbaums,
The Grand Budapest Hotel,
Boyhood,
Her,
Phantom Thread,
Anatomy of a Fall,
Adaptation.,
The Dark Knight,
Arrival,
Lost in Translation,
The Departed,
Bridesmaids,
A Separation,
WALL·E,
A Prophet,
A Serious Man,
Call Me by Your Name,
Portrait of a Lady on Fire,
Lady Bird,
Yi Yi,
Amélie,
The Master,
Oldboy,
Once Upon a Time... in Hollywood,
Moneyball,
Roma,
Almost Famous,
The Lives of Others,
Before Sunset,
Up,
12 Years a Slave,
The Favourite,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,
Pan's Labyrinth,
Inception,
Punch-Drunk Love,
Best in Show,
Uncut Gems,
Toni Erdmann,
Whiplash,
Kill Bill: Vol. 1,
Memento,
Little Miss Sunshine,
Gone Girl,
Oppenheimer,
Spotlight,
TÁR,
The Hurt Locker,
Under the Skin,
Let the Right One In,
Ocean's Eleven,
Carol,
Ratatouille,
The Florida Project,
Amour,
"O Brother, Where Art Thou?",
Everything Everywhere All at Once,
Aftersun,
The Tree of Life,
Volver,
Black Swan,
The Act of Killing,
Inside Llewyn Davis,
Melancholia,
Anchorman: The Legend of Ron Burgundy,
Past Lives,
The Lord of the Rings: The Fellowship of the Ring,
The Gleaners and I,
Interstellar,
Frances Ha,
Fish Tank,
Gladiator,
Michael Clayton,
Minority Report,
The Worst Person in the World,
Black Panther,
Gravity,
Grizzly Man,
Memories of Murder,
Superbad,
Zach Domes,
The Lord of the Rings: The Return of the King,
La La Land,
Dune: Part Two,
Spider-Man: Into the Spider-Verse,
The Lord of the Rings: The Two Towers,
Pride & Prejudice,
Sinners,
Django Unchained,
Little Women,
Hereditary,
Blade Runner 2049,
Fantastic Mr. Fox,
The Handmaiden,
The Prestige,
Mean Girls,
Perfect Days,
Barbie,
Dune,
Top Gun: Maverick,
Drive My Car,
Knives Out,
The Incredibles,
Killers of the Flower Moon,
Howl's Moving Castle,
The Lighthouse,
The Holdovers,
Midsommar,
The Shawshank Redemption,1994
The Godfather,1972
The Godfather: Part II,1974
12 Angry Men,1957
Schindler's List,1993
Pulp Fiction,1994
"Il buono, il brutto, il cattivo",1966
Fight Club,1999
Forrest Gump,1994
Star Wars: Episode V - The Empire Strikes Back,1980
One Flew Over the Cuckoo's Nest,1975
Goodfellas,1990
The Matrix,1999
Shichinin no samurai,1954
Cidade de Deus,2002
Se7en,1995
Star Wars,1977
The Silence of the Lambs,1991
It's a Wonderful Life,1946
La vita è bella,1997
The Usual Suspects,1995
Sen to Chihiro no kamikakushi,2001
Saving Private Ryan,1998
Léon,1994
The Green Mile,1999
Psycho,1960
American History X,1998
City Lights,1931
C'era una volta il West,1968
Casablanca,1942
Modern Times,1936
The Pianist,2002
Intouchables,2011
Terminator 2: Judgment Day,1991
Back to the Future,1985
Rear Window,1954
Raiders of the Lost Ark,1981
The Lion King,1994
Apocalypse Now,1979
Alien,1979
The Great Dictator,1940
Nuovo Cinema Paradiso,1988
Hotaru no haka,1988
Avengers: Infinity War,2018
Sunset Blvd.,1950
Das Leben der Anderen,2006
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Paths of Glory,1957
The Shining,1980
Mononoke-hime,1997
Witness for the Prosecution,1957
American Beauty,1999
The Dark Knight Rises,2012
Oldeuboi,2003
Aliens,1986
Once Upon a Time in America,1984
Coco,2017
Das Boot,1981
Citizen Kane,1941
Braveheart,1995
Vertigo,1958
North by Northwest,1959
Reservoir Dogs,1992
Star Wars: Episode VI - Return of the Jedi,1983
M - Eine Stadt sucht einen Mörder,1931
Kimi no na wa.,2016
Amadeus,1984
Requiem for a Dream,2000
Dangal,2016
Taare Zameen Par,2007
Lawrence of Arabia,1962
A Clockwork Orange,1971
3 Idiots,2009
2001: A Space Odyssey,1968
Le fabuleux destin d'Amélie Poulain,2001
Toy Story,1995
Double Indemnity,1944
Taxi Driver,1976
Singin' in the Rain,1952
Full Metal Jacket,1987
To Kill a Mockingbird,1962
Ladri di biciclette,1948
The Kid,1921
The Sting,1973
Good Will Hunting,1997
Toy Story 3,2010
Jagten,2012
Snatch,2000
Scarface,1983
Monty Python and the Holy Grail,1975
Per qualche dollaro in più,1965
L.A. Confidential,1997
The Apartment,1960
Metropolis,1927
Jodaeiye Nader az Simin,2011
Indiana Jones and the Last Crusade,1989
Rashômon,1950
All About Eve,1950
Batman Begins,2005
Yôjinbô,1961
Some Like It Hot,1959
Unforgiven,1992
Der Untergang,2004
Die Hard,1988
The Treasure of the Sierra Madre,1948
Heat,1995
Ikiru,1952
Incendies,2010
Raging Bull,1980
The Great Escape,1963
Bacheha-Ye aseman,1997
El laberinto del fauno,2006
Babam ve Oglum,2005
Chinatown,1974
The Third Man,1949
Bohemian Rhapsody,2018
Tonari no Totoro,1988
Hauru no ugoku shiro,2004
Ran,1985
Judgment at Nuremberg,1961
El secreto de sus ojos,2009
The Gold Rush,1925
The Bridge on the River Kwai,1957
A Beautiful Mind,2001
"Lock, Stock and Two Smoking Barrels",1998
Casino,1995
"Three Billboards Outside Ebbing, Missouri",2017
On the Waterfront,1954
Det sjunde inseglet,1957
Inside Out,2015
The Elephant Man,1980
Room,2015
Mr. Smith Goes to Washington,1939
V for Vendetta,2005
Warrior,2011
Blade Runner,1982
Dial M for Murder,1954
Smultronstället,1957
The General,1926
Trainspotting,1996
The Sixth Sense,1999
Gone with the Wind,1939
The Thing,1982
Fargo,1996
Gran Torino,2008
The Deer Hunter,1978
Finding Nemo,2003
Idi i smotri,1985
The Big Lebowski,1998
Shutter Island,2010
Sherlock Jr.,1924
Cool Hand Luke,1967
Rebecca,1940
Tôkyô monogatari,1953
Mary and Max,2009
Hacksaw Ridge,2016
How to Train Your Dragon,2010
Sunrise: A Song of Two Humans,1927
Relatos salvajes,2014
Jurassic Park,1993
Into the Wild,2007
Life of Brian,1979
In the Name of the Father,1993
The Truman Show,1998
Platoon,1986
Stand by Me,1986
It Happened One Night,1934
Eskiya,1996
Network,1976
Stalker,1979
Persona,1966
Salinui chueok,2003
Ben-Hur,1959
Hotel Rwanda,2004
Million Dollar Baby,2004
La passion de Jeanne d'Arc,1928
Rush,2013
Andrey Rublev,1966
Le salaire de la peur,1953
Before Sunrise,1995
Les quatre cents coups,1959
Prisoners,2013
Hachi: A Dog's Tale,2009
Logan,2017
Rang De Basanti,2006
Amores perros,2000
The Princess Bride,1987
Catch Me If You Can,2002
Kaze no tani no Naushika,1984
Harry Potter and the Deathly Hallows: Part 2,2011
Butch Cassidy and the Sundance Kid,1969
Rocky,1976
Barry Lyndon,1975
"Monsters, Inc.",2001
The Grapes of Wrath,1940
The Maltese Falcon,1941
Dead Poets Society,1989
Donnie Darko,2001
The Terminator,1984
Gandhi,1982
Les diaboliques,1955
La haine,1995
Groundhog Day,1993
The Wizard of Oz,1939
Jaws,1975
Le notti di Cabiria,1957
The Help,2011
Faa yeung nin wa,2000
Mandariinid,2013
Paper Moon,1973
Ah-ga-ssi,2016
"Paris, Texas",1984
The Best Years of Our Lives,1946
Tenkû no shiro Rapyuta,1986
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Guardians of the Galaxy,2014
Fanny och Alexander,1982
Tsubaki Sanjûrô,1962
Gangs of Wasseypur,2012
Drishyam,2015
Dave Vis,
Harakiri,
Come and See,
Seven Samurai,
The Human Condition III: A Soldier's Prayer,
High and Low,
The Godfather Part II,
The Human Condition I: No Greater Love,
A Brighter Summer Day,
"The Good, the Bad and the Ugly",
Le Trou,
Cinema Paradiso,
Autumn Sonata,
Grave of the Fireflies,
Neon Genesis Evangelion: The End of Evangelion,
Woman in the Dunes,
The Human Condition II: Road to Eternity,
Andrei Rublev,
Tokyo Story,
Sunset Boulevard,
The Cranes Are Flying,
The Passion of Joan of Arc,
Mishima: A Life in Four Chapters,
Fanny and Alexander,
The Battle of Algiers,
Close-Up,
Spider-Man: Across the Spider-Verse,
The Ascent,
I Am Cuba,
Sansho the Bailiff,
The Empire Strikes Back,
The Red Shoes,
Do the Right Thing,
A Woman Under the Influence,
Nights of Cabiria,
Nobody Knows,
Once Upon a Time in the West,
Perfect Blue,
Princess Mononoke,
Red Beard,
Love Exposure,
Eternity and a Day,
Life Is Beautiful,
Scenes from a Marriage,
Satantango,
It's Such a Beautiful Day,
Where Is the Friend's House?,
An Elephant Sitting Still,
Landscape in the Mist,
Army of Shadows,
Apur Sansar,
Farewell My Concubine,
Ordet,
A Man Escaped,
The Wages of Fear,
Three Colours: Red,
How to Make Millions Before Grandma Dies,
Late Spring,
All That Jazz,
The Seventh Seal,
Wild Strawberries,
Z,
Still Walking,
Mirror,
Central Station,
I'm Still Here,
Brief Encounter,
Raise the Red Lantern,
To Be or Not to Be,
Monster,
Funeral Parade of Roses,
The Young Girls of Rochefort,
Taste of Cherry,
A Special Day,
Pather Panchali,
Mommy,
Tampopo,
Dog Day Afternoon,
Swing Girls,
The 400 Blows,
Rocco and His Brothers,
Wings of Desire,
The Celebration,
Werckmeister Harmonies,
M,
Yojimbo,
Shoplifters,
Bicycle Thieves,
The Sacrifice,
Sing Sing,
Underground,
The Father,
8½,
Opening Night,
Chungking Express,
La Notte,
The Hunt,
Akira,
Nostalgia,
The Cremator,
Children of Paradise,
Evangelion: 3.0+1.0 Thrice Upon a Time,
Secrets & Lies,
The Man Who Shot Liberty Valance,
Throne of Blood,
Twin Peaks: Fire Walk with Me,
La Dolce Vita,
Samurai Rebellion,
Dersu Uzala,
"Life, and Nothing More…",
Ace in the Hole,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",
The Night of the Hunter,
The Iron Giant,
Who's Afraid of Virginia Woolf?,
Look Back,
Cure,
Ugetsu,
Rififi,
Malcolm X,
A Matter of Life and Death,
Ritual,
The Tale of The Princess Kaguya,
Sorcerer,
Aparajito,
Umberto D.,
Winter Light,
Puella Magi Madoka Magica the Movie Part III: Rebellion,
We All Loved Each Other So Much,
The First Slam Dunk,
Sweet Smell of Success,
Marcel the Shell with Shoes On,
Song of the Sea,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,
Il Sorpasso,
Anatomy of a Murder,
The Face of Another,
The King of Comedy,
"4 Months, 3 Weeks and 2 Days",
Napoleon,
Azur & Asmar: The Princes' Quest,
Kes,
Fail Safe,
Tokyo Godfathers,
Solaris,
Kwaidan,
Le Samouraï,
The Disappearance of Haruhi Suzumiya,
An Autumn Afternoon,
The Life and Death of Colonel Blimp,
Millennium Actress,
Poetry,
