Movie Title,Year,Genre,tmdb_id
Parasite,2019,Comedy;Thriller;Drama,496243
Mulholland Drive,2001,Thriller;Drama;Mystery,1018
There Will Be Blood,2007,Drama,7345
In the Mood for Love,2000,Drama;Romance,843
Moonlight,2016,Drama,376867
No Country for Old Men,2007,Crime;Drama;Thriller,6977
Eternal Sunshine of the Spotless Mind,2004,Science Fiction;Drama;Romance,38
Get Out,2017,Mystery;Thriller;Horror,419430
Spirited Away,2001,Animation;Family;Fantasy,129
The Social Network,2010,Drama,37799
Mad Max: Fury Road,2015,Action;Adventure;Science Fiction,76341
The Zone of Interest,2023,Drama;History;War,467244
Children of Men,2006,Drama;Action;Thriller;Science Fiction,9693
Inglourious Basterds,2009,Drama;Thriller;War,16869
City of God,2002,Drama;Crime,598
"Crouching Tiger, Hidden Dragon",2000,Adventure;Drama;Action;Romance,146
Brokeback Mountain,2005,Drama;Romance,142
Y Tu Mamá También,2001,Drama;Romance,1391
Zodiac,2007,Crime;Drama;Mystery;Thriller,1949
The Wolf of Wall Street,2013,Crime;Drama;Comedy,106646
The Royal Tenenbaums,2001,Comedy;Drama,9428
The Grand Budapest Hotel,2014,Comedy;Drama,120467
Boyhood,2014,Drama,85350
Her,2013,Romance;Science Fiction;Drama,152601
Phantom Thread,2017,Drama;Romance,400617
Anatomy of a Fall,2023,Thriller;Mystery;Crime,915935
Adaptation.,2002,Comedy;Crime;Drama,2757
The Dark Knight,2008,Drama;Action;Crime;Thriller,155
Arrival,2016,Drama;Science Fiction;Mystery,329865
Lost in Translation,2003,Drama;Romance;Comedy,153
The Departed,2006,Drama;Thriller;Crime,1422
Bridesmaids,2011,Comedy;Romance,55721
A Separation,2011,Drama,60243
WALL·E,2008,Animation;Family;Science Fiction,10681
A Prophet,2009,Crime;Drama,21575
A Serious Man,2009,Comedy;Drama,12573
Call Me by Your Name,2017,Romance;Drama,398818
Portrait of a Lady on Fire,2019,Drama;Romance;History,531428
Lady Bird,2017,Drama;Comedy,391713
Yi Yi,2000,Drama,25538
Amélie,2001,Comedy;Romance,194
The Master,2012,Drama,68722
Oldboy,2003,Drama;Thriller;Mystery;Action,670
Once Upon a Time... in Hollywood,2019,Comedy;Drama;Thriller,466272
Moneyball,2011,Drama,60308
Roma,2018,Drama,426426
Almost Famous,2000,Drama;Music,786
The Lives of Others,2006,Drama;Thriller,582
Before Sunset,2004,Drama;Romance,80
Up,2009,Animation;Comedy;Family;Adventure,14160
12 Years a Slave,2013,Drama;History,76203
The Favourite,2018,History;Comedy;Drama,375262
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,496
Pan's Labyrinth,2006,Fantasy;Drama;War,1417
Inception,2010,Action;Science Fiction;Adventure,27205
Punch-Drunk Love,2002,Romance;Drama;Comedy,8051
Best in Show,2000,Comedy,13785
Uncut Gems,2019,Drama;Thriller;Crime,473033
Toni Erdmann,2016,Comedy;Drama,374475
Whiplash,2014,Drama;Music,244786
Kill Bill: Vol. 1,2003,Action;Crime,24
Memento,2000,Mystery;Thriller,77
Little Miss Sunshine,2006,Comedy;Drama,773
Gone Girl,2014,Mystery;Thriller;Drama,210577
Oppenheimer,2023,Drama;History,872585
Spotlight,2015,Drama;History,314365
TÁR,2022,Music;Drama,817758
The Hurt Locker,2008,Drama;Thriller;War,12162
